token	count	p
."	84857	0.02605473
છે	78135	0.02399079
અને	55282	0.01697394
,	47040	0.01444329
છે."	38422	0.01179720
કે	28328	0.00869791
પણ	25270	0.00775897
માટે	25159	0.00772489
આ	21007	0.00645005
કરી	19135	0.00587526
પર	19113	0.00586851
એક	17971	0.00551787
જ	16682	0.00512209
સાથે	15920	0.00488812
"આ	15329	0.00470666
તે	13993	0.00429645
.	12200	0.00374592
-	11951	0.00366947
તો	11223	0.00344594
કરવામાં	9965	0.00305968
હતી	9807	0.00301117
આવી	9517	0.00292213
હોય	8297	0.00254753
દ્વારા	8067	0.00247691
જે	7714	0.00236853
એ	7118	0.00218553
નથી	6963	0.00213794
હતો	6958	0.00213640
10	6778	0.00208114
હતું	6725	0.00206486
થઈ	6619	0.00203232
હતા	6576	0.00201911
આવે	6468	0.00198595
વધુ	6425	0.00197275
11	6291	0.00193161
શકે	6238	0.00191533
કરવા	6221	0.00191011
12	6097	0.00187204
રીતે	5925	0.00181923
9	5818	0.00178637
હતી."	5766	0.00177041
છે,	5671	0.00174124
13	5595	0.00171790
:	5566	0.00170900
સુધી	5468	0.00167891
8	5406	0.00165987
ન	5403	0.00165895
14	5400	0.00165803
15	5389	0.00165465
રહી	5388	0.00165435
કરે	5271	0.00161842
બાદ	5235	0.00160737
તમે	5026	0.00154320
થાય	4904	0.00150574
ના	4878	0.00149775
રહ્યા	4842	0.00148670
કોઈ	4810	0.00147688
16	4696	0.00144187
લોકો	4680	0.00143696
કહ્યું	4665	0.00143235
પછી	4658	0.00143021
7	4596	0.00141117
કારણે	4512	0.00138538
માં	4416	0.00135590
બે	4302	0.00132090
સામે	4288	0.00131660
17	4244	0.00130309
)	4230	0.00129879
તેના	4190	0.00128651
(	4187	0.00128559
18	4129	0.00126778
પરંતુ	4119	0.00126471
અથવા	4077	0.00125181
ત્યારે	3992	0.00122571
હતો."	3909	0.00120023
6	3905	0.00119900
તેની	3905	0.00119900
મળી	3884	0.00119255
20	3824	0.00117413
હતા."	3739	0.00114803
તેને	3717	0.00114128
19	3714	0.00114036
કે,	3673	0.00112777
પોલીસ	3652	0.00112132
કર્યો	3508	0.00107711
આવ્યા	3422	0.00105070
કામ	3400	0.00104395
5	3379	0.00103750
આવ્યો	3315	0.00101785
કરતા	3314	0.00101754
નહીં	3253	0.00099881
કરીને	3218	0.00098806
શરૂ	3150	0.00096718
તેમના	3146	0.00096596
તથા	3138	0.00096350
જણાવ્યું	3135	0.00096258
આપી	3107	0.00095398
થી	3067	0.00094170
થઇ	3065	0.00094109
તેઓ	3035	0.00093187
હવે	2985	0.00091652
"જો	2981	0.00091529
21	2959	0.00090854
પોતાના	2958	0.00090823
વાત	2949	0.00090547
સૌથી	2925	0.00089810
"તે	2899	0.00089012
અન્ય	2892	0.00088797
તમામ	2889	0.00088705
જોવા	2878	0.00088367
પાસે	2868	0.00088060
તમારા	2853	0.00087599
4	2851	0.00087538
ની	2844	0.00087323
રહ્યો	2786	0.00085542
દરમિયાન	2773	0.00085143
જ્યારે	2768	0.00084989
22	2746	0.00084314
કોરોના	2744	0.00084253
તરીકે	2729	0.00083792
ખૂબ	2668	0.00081919
2	2662	0.00081735
ગયા	2659	0.00081643
આજે	2632	0.00080814
જો	2557	0.00078511
ને	2557	0.00078511
વચ્ચે	2532	0.00077743
ઉપયોગ	2527	0.00077590
આવ્યું	2526	0.00077559
તેમજ	2523	0.00077467
24	2521	0.00077405
સમય	2486	0.00076331
ઉપર	2472	0.00075901
થયા	2459	0.00075502
થયો	2445	0.00075072
બની	2431	0.00074642
વર્ષ	2425	0.00074458
માત્ર	2420	0.00074304
જાય	2408	0.00073936
છો	2401	0.00073721
23	2387	0.00073291
નથી."	2375	0.00072923
?"	2356	0.00072339
કરવાની	2343	0.00071940
આપવામાં	2340	0.00071848
પહેલા	2319	0.00071203
હતું."	2304	0.00070743
3	2302	0.00070681
કર્યું	2296	0.00070497
ત્રણ	2279	0.00069975
તેમને	2253	0.00069177
અંગે	2245	0.00068931
સરકાર	2241	0.00068808
પોતાની	2229	0.00068440
ટકા	2227	0.00068378
""	2202	0.00067611
રહે	2195	0.00067396
દિવસ	2169	0.00066598
કરો	2155	0.00066168
તેમની	2145	0.00065861
શું	2141	0.00065738
રહ્યું	2127	0.00065308
કર્યા	2087	0.00064080
શકો	2078	0.00063803
બહાર	2068	0.00063496
